Titres opération et projet lauréat,Thématique
Investir pour la longévité et l'accessibilité de nos églises Ravalement du narthex et du bas-côté Est de St-Pierre-du-Gros-Caillou,Culture et patrimoine
Rapprocher la culture des habitant·e·s Oeuvre en hommage à Alice Milliat au Gymnase Alice Milliat,Culture et patrimoine
"Culture, bien-être : pour la solidarité et l’accessibilité Création tiers-lieu inclusif/ Yéo Thomas",Culture et patrimoine
Aménagements ludiques et sportifs pour les quartiers populaires Agrandir la Ludonomade,Sport
Faciliter les déplacements à vélo Geovélo,Mobilités
Aménager les canaux et développer la baignade Bateau nettoyeur,Cadre de vie
"Une cour rénovée pour les écoles Laugier, Fourcroy, Renaudes Rénovation des sanitaires",Education et jeunesse
Des cours d’écoles rénovées pour le bien-être des écoliers Des cours d’écoles rénovées EE Mademoiselle,Education et jeunesse
Des projets pour la jeunesse du 20e Rénovation des locaux de la ludothèque Cabane Davout,Education et jeunesse
Modernisons nos équipements pour faire du sport ensemble City stade du jardin Luc Hoffmann,Sport
Des vidéoprojecteurs interactifs pour les écoles du 6e Des vidéoprojecteurs interactifs pour l'EM Littré,Education et jeunesse
Du matos’ pour les assoc’ ! Flour Power – Création d'un four communautaire,Solidarités
Sécuriser les carrefours dangereux et les abords des écoles Réaliser des marquages ludiques au sol place de Lévis et allée Yvette Guilbert,Prévention et sécurité
"Apaiser, végétaliser des rues et places de l'arrondissement Aménagements autour de l'église St Philippe du Roule",Cadre de vie
Favoriser le lien social et les pratiques artistiques et sportives Réaménagement d'une salle de boxe,Solidarités
Améliorer le quotidien des habitant·e·s du quartier Bel-Air Nord Modernisation Théatre 12,Cadre de vie
Des cours d’écoles rénovées pour le bien-être des écoliers Des cours d’écoles rénovées EM Vaugirard,Education et jeunesse
Rénovons les écoles du 17ème ! Rénover le GS Lagache,Education et jeunesse
"Fontaines et piscine, plus de fraîcheur dans le 5e 01 - Fontaine Sorbonne",Cadre de vie
Soutenons le dynamisme associatif et solidaire de nos quartiers Nouvelle épicerie solidaire et sociale La Chorba Pour Tous,Solidarités
Aménager et équiper les résidences sociales Des équipements numériques pour Adef Hébergement,Solidarités
Vers plus de vert dans le 17ème ! Création espace canin / rue Navier,Environnement
"Sublimer nos squares, parcs et jardins Végétaliser le tour du Kiosque !",Environnement
Un coup de vert dans le 15e Aire de jeux inclusive square Alleray-Quinitinie,Environnement
Des projets pour la jeunesse du 20e Des équipements techniques et pédagogiques pour Jeunesse Feu Vert,Education et jeunesse
Agir pour une ville plus propre drône nettoyeur télécommandé pour nettoyer l'eau,Propreté
Nos espaces verts évoluent ! 03 - Mise en valeur du parcours de la Bièvre / 1 - Mise en valeur des médaillons installés le long du parcours,Environnement
Rénovons les terrains de sport du 11e 04 /  TEP 68 Philippe Auguste,Sport
Rénover le gymnase du collège Condorcet Gymnase du Collège Condorcet,Education et jeunesse
Ravaler le mur et les balustrades du Pont de Bir-Hakeim Ravaler le mur et les balustrades du Pont de Bir-Hakeim,Propreté
Mini-mur d'escalade pour ados et enfants Mini mur d'escalade pour ados et enfants dans le square Paul Langevin,Education et jeunesse
Rénover les bâtiments publics pour contribuer à la transition écologique Rénovation thermique de bâtiments publics,Environnement
Des espaces verts plus agréables pour petits et grands 01-Créer une pataugeoire et un espace de fraicheur dans le square Bela Bartok,Environnement
Améliorer l’accessibilité des personnes en situation d'handicap Améliorer l’accessibilité des personnes handicapées dans le 20ème,Mobilités
Un restaurant solidaire et un gymnase multi-activités rénové (Cerdan) Un restaurant solidaire rue Léo Fränkel,Solidarités
Pour des écoles plus vertes ! Un mur végétalisé/ EE Belleville,Environnement
Valorisons les espaces verts 03-Protéger les aires de jeux du soleil dans le 12ème,Environnement
Offrons des écoles plus sereines aux écolier·es du 12e une école inclusive -Aménagements d'espaces collège JF Oeben,Education et jeunesse
Des espaces à jouer pour nos enfants et des jardins plus agréables à vivre 05-Poursuivre la rénovation de l'aire de jeux du jardin Luc Hoffmann,Cadre de vie
Des espaces à jouer pour nos enfants et des jardins plus agréables à vivre 06-Rénovation du terrain de Basket-ball sous la station de métro aérien Stalingrad,Cadre de vie
Pour un 20e verdoyant 08-Pour des espaces verts rénovés - Clôture du square Elisa Borey,Cadre de vie
"#RefabriquonsÀParis Consolider des filières de réemploi de matériaux, comme supports d’inclusion - Carton Plein 75",Attractivité et emploi
Équiper des crèches dans le 20e Crèche municipale Malte Brun,Education et jeunesse
Solutions de stockage et de convivialité pour les assos sportives Entreposage et espace collectif OLABO,Sport
Rénover les Espaces Paris Jeunes du 20e 01/08/2025Une  terrasse devant l'EPJ Taos Amrouche,Education et jeunesse
#TousRécup Boîte n°8 - Des boîtes à livres pour le 10e arr.,Solidarités
Partager l'espace entre les piétons et les mobilités douces 02/mise en sécurité du Carrefour FG St-Martin/Bd Magenta,Mobilités
#RefabriquonsÀParis Coup de Main - Création d'une équipe salariée sur le réemploi des EEE (Equipements Electriques et  Electroniques),Attractivité et emploi
#TousRécup Cygogne - De nouveaux vélos-cargos et accueil de livreurs en insertion,Solidarités
Des équipements au service de la solidarité et de la citoyenneté Une grille pour la façade du local Pôle Jeunesse de l’association La Camillienne,Solidarités
Restaurer les arcades de l'Oratoire du Louvre Restaurer l'Oratoire du Louvre - 160 rue de Rivoli,Culture et patrimoine
Rénover l'auditorium du centre socioculturel Cerise Rénover l'auditorium du centre socioculturel Cerise,Culture et patrimoine
Embellir la rue Legouvé par des fresques murales Fresques murales,Cadre de vie
Améliorer et renforcer les parcs canins aux Épinettes Amélioration du parc canin des Epinettes,Cadre de vie
Rénover les équipements sportifs du 20e Sécuriser le TEP des Haies,Sport
Offrons à nos associations les moyens de leurs ambitions ! Offrons à nos associations les moyens de leurs ambitions !,Solidarités
Rénover les écoles du 20e Rénover les écoles du 20e / EP Pierre Foncin - Sanitaires,Education et jeunesse
Améliorer le patrimoine associatif de Belleville Équipements pour l'accueil des habitants du quartier BellevilleFontaine au Roi/Le Bouquin qui bulle,Cadre de vie
La culture et le sport viennent à vous Vie de quartier à Paris Rive Gauche,Education et jeunesse
"Diminuer les déchets, augmenter la récup’ Feat Coop - ouverture d'un showroom physique",Propreté
Du street art autour de la ZAC Clichy-Batignolles Fresque marché Batignolles,Culture et patrimoine
Rénovation de l'étanchéité des gymnases Choisy et Caillaux Gymnase Caillaux,Sport
Installation de 2 fontaines pétillantes dans les parcs de la Butte du chapeau-rouge et des Buttes-Chaumont Installation de 2 fontaines pétillantes dans les parcs de la Butte du chapeau-rouge et des Buttes-Chaumont,Cadre de vie
Créer un espace sportif en plein air au sein de la résidence Au Maire pour personnes âgées Créer un espace sportif en plein air au sein de la résidence Au Maire pour personnes âgées,Solidarités
Végétalisation du toit du réfectoire de l'école Pierre Brossolette Végétalisation du toit du réfectoire de l'école Pierre Brossolette,Environnement
Des équipements supplémentaires pour les établissements de petite enfance Des équipements supplémentaires pour les établissements de petite enfance,Education et jeunesse
Embellissement de la place Jules Joffrin Embellissement de la place Jules Joffrin,Cadre de vie
Embellir les placettes du quartier Jules Joffrin Embellir les placettes du quartier Jules Joffrin,Cadre de vie
Création d'un jardin potager à l'angle de la rue des Cascades et de la rue de Savies Création d'un jardin potager à l'angle de la rue des Cascades et de la rue de Savies,Environnement
La reconquête de la Petite Ceinture La reconquête de la Petite Ceinture / Installation de bases vie,Cadre de vie
Amélioration de l’accès au Bois de Vincennes depuis la Porte Dorée Continuité de liaison Paris-Bois de vincennes -périphérique,Cadre de vie
Un espace collectif pour donner une seconde vie aux déchets : créons une ressourcerie ! La Ressourcerie du 10ème arrondissement (La Bricolette),Environnement
Embellissement du coin des rues de Tracy et  Saint-Denis Embellissement et assainissement du coin Tracy Saint-Denis,Environnement
Armoire à dons dans le 2e Installer une boîte à dons dans le 2e arrondissement,Solidarités
Création d'un jardin potager de 10 à 15 m² square Paul Painlevé Jardin potager square Paul Painlevé,Environnement
Des tables de jeux d'échecs au parc Monceau Des tables de jeux d'échecs au parc Monceau,Cadre de vie
Maison de quartier ou lieu de rencontre pour les habitants Maison de quartier ou lieu de rencontre pour les habitants,Solidarités
Embellissement du quartier Amandiers Embellissement du quartier Amandiers,Cadre de vie
Plus de Vert à Montmartre ! Plus de Vert à Montmartre !  / 01- Végétalisation du mur pignon du 6 rue Coustou,Cadre de vie
"Jeux et loisirs dans les parcs et squares du 15e Parc André Citroen, aires de jeux pour les grands",Cadre de vie
Plus d’arbres dans les rues du 10e Plus d’arbres dans les rues du 10e,Environnement
Reprise des pistes cyclables des boulevards maréchaux du 20e Reprise des pistes cyclables des boulevards maréchaux du 20ème,Mobilités
"Rue aux enfants - Rue des Coûtures Saint-Gervais 3e ""Rue Golotte""",Cadre de vie
Du vert à tous les étages Ecole maternelle Chantin - 15 rue Antoine Chantin 14e,Environnement
Poursuivre la végétalisation dans le 14e Poursuivre la végétalisation dans le 14e / 02-rénovation des jardinières de l'avenue du Maine,Environnement
"Des jardins sur les murs Des jardins sur les murs / 75007 - Mise en place de pot Institut des jeunes aveugles - 56, boulevard des Invalides - 11, rue de Maurice de la Sizeranne",Environnement
Des jardins sur les murs Des jardins sur les murs / 75006 - mur végétalisé 2 rue Littré,Environnement
Paris aux piétons Le circuit des musées (7ème + 16ème arrondissement),Cadre de vie
Paris aux piétons Le quartier Chaussée d’Antin,Cadre de vie
Paris aux piétons Rue de Ponthieu,Cadre de vie
De l’art dans mon quartier : des rues hautes en couleur Anamorphose - escalier situé entre le 72 et le 62 rue de Bercy,Culture et patrimoine
Rénovation de l'étanchéité des gymnases Choisy et Caillaux Gymnase Choisy,Sport
Un skate park et du beach volley dans le 19e Beach Volley à Ladoumègue,Sport
Du matériel pour les fêtes de Saint-Blaise 01Animations et événements socio-culturels rue Saint Blaise (Kelbongoo),Solidarités
Zone de Rencontre rue des Dames Zone de Rencontre rue des Dames,Cadre de vie
Achèvement de la restauration de la fontaine Louvois ACHEVEMENT DE LA RESTAURATION DE LA FONTAINE LOUVOIS,Environnement
Réaménagement du Carrefour rue Saint-Jacques/rue Gay-Lussac Réaménagement du Carrefour rue Saint-Jacques/rue Gay-Lussac,Cadre de vie
Apaiser la rue Cavé PLACE LEON - Apaiser la rue Cavé,Cadre de vie
Développer l'aide aux personnes en situation de précarité Équipement de l'Atelier et du Chantier d'insertion,Solidarités
Développer l'aide aux personnes en situation de précarité Acquisition d'un véhicule de transport,Solidarités
Développer l'aide aux personnes en situation de précarité Rénovation des Bains-Douches Pyrénées,Solidarités
Jeux et loisirs dans les parcs et squares du 15e Aire de jeux square Adolphe Chérioux,Cadre de vie
"En piste, encore plus d'aménagements cyclables En piste/porte Molitor",Mobilités
Réaliser un mur d’expression artistique et fresque rue des Couronnes Blue Dreams de l'Atlas,Culture et patrimoine
+ de commerces dans les quartiers populaires Lauréat Coup de Pouce Commerce: LA LAITERIE DE PARIS,Attractivité et emploi
Des ludothèques pour nos écoles maternelles Ludothèque école polyvalente Vaucanson,Education et jeunesse
Le Conseil Municipal des Enfants redessine les cours des écoles élémentaires Cour de récréation école élémentaire MOUSSY,Education et jeunesse
