Titre de l'opération,Thématique
Des jardins sur les murs / 75020 - mur végétalisé Villa des Lyanes,Environnement
Cultiver en ville / Subvention centre Georges Pompidou,Environnement
+ de nature en ville / Installation d’abris pour chats errants (L’école du chat),Environnement
C- SUIV 003688 - + de nature en ville / 04-Mares et espaces de biodiversité/ Jardin André Ulmann,Environnement
Mares et espaces de biodiversité dans les quartiers populaires / Square des Grès,Environnement
Etudes et Chantiers IDF,Attractivité et emploi
Un café de rue à vélo pour des rencontres solidaires,Solidarités
Suite de la restauration de la somptueuse fontaine Louvois,Culture et patrimoine
Coulée verte et potager urbain solidaire rue de l'Arsenal / 01 - potagers urbains sur les toits,Cadre de vie
Des tracés et des porteurs dans les cours de la maternelle,Education et jeunesse
Une promenade végétalisée dans le 9ème / végétalisation de la rue Hippolyte Lebas,Environnement
Aménagement de la piste cycliste autour de Longchamps,Prévention et sécurité
Une salle d'arts plastiques pour l'école Saint-Merri Renard,Education et jeunesse
Végétaliser l'espace public / 01 - Des arbres en bac pour la rue de Javel et jardinières aux abords du collège Debussy,Environnement
Traverser en toute sécurité dans les rues du 11ème,Prévention et sécurité
Réaménager le centre solidarité Angèle Mercier,Education et jeunesse
Restaurant solidaire La Table du Recho aux Cinq Toits,Solidarités
Essaimage des repair café à Paris (5/10),Solidarités
Créer un lieu de vie associative,Sport
Aménagement des locaux de la Maraude Migrants,Solidarités
Halte Humanitaire Porte de la Chapelle,Solidarités
"Insonorisation, embellissement réfectoires écoles EP Vaucanson",Education et jeunesse
Tableaux interactifs pour l'école maternelle,Education et jeunesse
Rénovation du TEP Jules Noël,Sport
26 Netter,Mobilités
DIX HUITIEME CYCLE,Attractivité et emploi
BOUCHERIE,Attractivité et emploi
AU BOWL GOURMAND,Attractivité et emploi
Espoir 18,Solidarités
Action 2 : installation de panneaux photovoltaïques - Tzara,Environnement
Restauration de la chapelle de la Vierge de Sainte-Clotilde,Culture et patrimoine
Maison de santé Place des Droits de l'Enfant,Santé
Achat de corbeilles pour les berges de Seine et actions de sensibilisation aux enjeux environnementaux liés à la propreté,Propreté
Embellissons et préparons nos écoles- GS Picpus,Education et jeunesse
Ajouter trois ralentisseurs dans la rue de Saussure,Cadre de vie
Vélo cargo et remorque mutualisés pour la fontaine au roi,Solidarités
02 - mur végétalisé sur la façade de l'école maternelle  Pierre Bullet (mur rue du Château d'Eau),Environnement
05 - mur végétalisé du marché St Quentin  (mur mitoyen du 12 rue de Chabrol),Environnement
03 - Rénovation du square Jules Verne,Environnement
EE Capitaine Lagache - Rénovation de la salle de restauration,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE St Bernard,Education et jeunesse
Restauration de la chapelle de la Vierge de l’église Saint Sulpice,Culture et patrimoine
Les Hôtels à Moineaux,Culture et patrimoine
Nouvelle enseigne Le Deuxième Café: Café associatif et culturel,Solidarités
Installation café associatif La Collective Parisienne,Solidarités
De belles cours d'écoles pour les enfants EM Beslay,Education et jeunesse
"Paris, source de fraicheur - 01 - Fontaine n°1",Environnement
Végétaliser la place Melina Mercouri,Environnement
Rénovation du centre sportif Croix-Nivert,Sport
Des toilettes pour l'EE Brossolette,Education et jeunesse
De belles cours d'écoles pour les enfants EE Pihet,Education et jeunesse
Sécurisation Quai Louis Blériot,Prévention et sécurité
Aménagement de l'annexe du conservatoire Piver,Culture et patrimoine
Parcours patrimonial / Parc de Bercy,Culture et patrimoine
Acquisition de matériel pour des ateliers de pratique artistique,Solidarités
Achat de deux fourgonnettes pour distribution de repas et espace de rencontre,Solidarités
Végétalisation du collège Marx-Dormoy,Cadre de vie
Des équipements numériques pour Adoma Annam,Solidarités
Créer un observatoire du bois en haut de la butte à canon,Environnement
Création d’une mare écologique et installation de dispositifs favorisant la biodiversité,Environnement
Un potager connecté sur le toit de l'école d’ingénieurs ECE Paris,Environnement
EE Claude Vellefaux,Environnement
Communauté Emmaüs de Paris,Solidarités
"Yes We Camp, Joyons",Solidarités
Marquage au sol priorité piétons place République,Prévention et sécurité
Installer des corbeilles de rue pour recyclage,Propreté
04-Houblonnière du Jardin des petites rigoles,Environnement
01-Installation de ralentisseurs voitures et motos pour sécuriser la rue Philibert Delorme,Cadre de vie
un jardin partagé/ cour oasis à l'EE Fessart,Education et jeunesse
Des écoles OASIS/ Collège Robert Doisneau,Environnement
01-Poursuite de la végétalisation du 18ème pour mieux vivre ensemble,Cadre de vie
01-Protection du passage piétons rue Vernet croisement Bassano,Prévention et sécurité
04-Rénovation des trottoirs rue Guy Môquet,Culture et patrimoine
Développement durable à l'EP Poissonniers,Education et jeunesse
7702-Rénover l’aire de jeux du square Gustave Mesureur,Environnement
03-Réhabilitation du trottoir rue Cambrai,Cadre de vie
FADS - Achat de machines pour l’atelier couture upcycling et la blanchisserie du Centre Espoir,Attractivité et emploi
Crèche municipale des Rigoles,Education et jeunesse
Accompagner les personnes à la rue en difficulté avec les addictions,Solidarités
Une camionnette pour la solidarité alimentaire dans le 12ème,Cadre de vie
Sièges individuels en tribune et amélioration du Gymnase Didot,Sport
Boite n°2 - Des boîtes à livres pour le 10e arr.,Solidarités
Création espace canin / boulevard des Batignolles,Environnement
Aire de jeux jardin Catherine Labouré,Cadre de vie
Améliorer le confort de vie des séniors du 7ème,Cadre de vie
Rendons accessible à tous l'église Saint Etienne du Mont,Culture et patrimoine
01-Améliorer du terrain de sport du jardin Dalpayrat,Cadre de vie
Création d'un lieu de convivialité,Sport
Un lieu de vie pour le Golf,Sport
Zéro mégot rue Amelot,Environnement
Plus de cours oasis et rafraichies / GS Simone Veil: Alesia,Education et jeunesse
02 - Jardinage et sensibilisation à l'agri urbaine au Gymnase Choisy,Environnement
Végétaliser les cours de récréation des écoles/ EE 16 rue Julien Lacroix,Education et jeunesse
Rénover les écoles du 20e / Abris Vélo,Education et jeunesse
Rénover les écoles du 20e / EM Pali kao - Sanitaires,Education et jeunesse
Mur peint,Cadre de vie
Un mur interactif à Max Rousié,Sport
Rendons accessible à tous l'église St jacques St Christophe place de Bitche,Cadre de vie
Tronçon PC19 rue de Thioville - quai de la Marne,Cadre de vie
Rénovons la salle Jean Aicard,Cadre de vie
Fresque escaliers Colette Vivier,Culture et patrimoine
Ralentisseurs et revêtements phoniques - 02/plateau Dublin,Prévention et sécurité
Pimp Your Waste - financement R&D et aménagement de son atelier,Propreté
Favoriser le sport dans les jardins du 17e / sq. Ernest Gouin.,Cadre de vie
Installer des bancs publics supplémentaires dans le 17e arrondissement,Cadre de vie
Mise en valeur du parvis de l'église Saint-Joseph des Épinettes,Culture et patrimoine
Élargir le trottoir rue Poncelet,Mobilités
Verdir la rue Saint-Denis,Cadre de vie
Aire de fitness sur le canal de l'Ourcq,Sport
Végétalisation de la place de la Fontaine Timbaud,Environnement
Poser un tapis phonique et une végétalisation associative rue de Bagnolet,Cadre de vie
Jardin d'Alice - Jardin partagé rue Louis Blanc,Cadre de vie
Jardin pédagogique école polyvalente Saint Martin,Environnement
Des mots et des fleurs,Environnement
Beaubourg backstage,Cadre de vie
Une promenade plantée pour le boulevard de Charonne,Environnement
Un lieu pour les jeunes par les jeunes !,Education et jeunesse
AMIRAUX (19) MAT,Education et jeunesse
Couverture des 3 courts de tennis du stade Max Rousié,Sport
Agrandir les réféctoires des écoles PICPUS,Education et jeunesse
Ponton,Cadre de vie
Un abri pour les personnes sans-domiciles,Solidarités
Rénovation extérieure de la Chapelle Saint Lazare,Solidarités
Remettre du vert dans la rue du Chemin Vert,Environnement
Square Jean Aicard,Environnement
Jardin Henri et Achille Duchêne,Environnement
Jardin de l’Ilot Riquet,Environnement
+ de nature en ville / 08-Application mobile pour  arrosage participatif,Environnement
Bureaux DJS - toit 1- 25 boulevard Bourdon 4e,Environnement
Jardin partagé  rue Gérard de Nerval,Environnement
Verger - Fruitiers square Pauly,Environnement
"Jardin Villemin, Kiosque à musique",Cadre de vie
"Jardinets du Bd Auguste Blanqui, Kiosque à musique, locaux jardiniers",Cadre de vie
Des jardins sur les murs / 75006 - mur végétalisé Rue Madame (angle Marie Cappe Carpentier),Environnement
Des jardins sur les murs / 75012 - mur végétalisé RUE DE LYON,Environnement
Des jardins sur les murs / 75020 - mur végétalisé RUE PELLEPORT,Environnement
Panthère de Baudelocque,Culture et patrimoine
Fresque,Culture et patrimoine
Fresque Da Cruz,Culture et patrimoine
Restauration oeuvre de Patrick Corillon,Culture et patrimoine
Oru Totem de Stoul,Culture et patrimoine
Améliorer la circulation des vélos et des piétons sur le Quai de Valmy et devant les crèches,Prévention et sécurité
Sanitaires école élémentaire SAINT JACQUES,Education et jeunesse
Raspail revit suite,Environnement
Construction d'une salle de boxe,Sport
Belle place à Vauvernagues/Leibniz,Cadre de vie
Protéger la piste cyclable de la rue Louis Blanc,Mobilités
Pour la création d’un lieu intergénérationnel,Solidarités
Le renouveau du square Léonor Fini,Cadre de vie
Conciergerie solidaire Lulu dans ma rue,Solidarités
Rénovation des Bains-Douches Oberkampf,Solidarités
Financement du CHU Bastion de BERCY,Solidarités
Théâtre Paris Villette,Culture et patrimoine
Remplacement sols CPA Richet,Education et jeunesse
En piste/porte des Ternes,Mobilités
Rue des Bois,Cadre de vie
Toit végétalisée mairie du 18eme,Environnement
Lauréat Coup de Pouce Commerce: OPTIQUE COURTELINE,Attractivité et emploi
Sanitaires école maternelle MOUFFETARD,Education et jeunesse
Sanitaires école élémentaire REUILLY A,Education et jeunesse
Sanitaires école maternelle PICPUS,Education et jeunesse
Sanitaires école élémentaire PORTE D'IVRY,Education et jeunesse
Isolation thermique école maternelle LEON MAURICE NORDMANN,Education et jeunesse
Réfectoire école maternelle STEPHEN PICHON,Education et jeunesse
VPI école élémentaire DUPLEIX,Education et jeunesse
VPI école élémentaire OLIVIER DE SERRES,Education et jeunesse
VPI école maternelle GERBERT,Education et jeunesse
VPI école élémentaire BESSIERES,Education et jeunesse
"Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Epicerie solidaire du Secours Populaire du 13e,Solidarités
Végétaliser les murs et les toits dans le 15ème / 08 - végétalisation du mur aveugle donnant sur le square Bargue-Platon,Cadre de vie
Amenagement Point Paris Emploi 13è ardt (MLP),Solidarités
Amélioration du matériel des CS du 5è_Gym. des Patriarches,Sport
Gymn. Fragonard,Santé
Gymn. Caillaux,Cadre de vie
SWO Sq. Bartholomé,Sport
Square Dampierre-Rouvet,Sport
Bassin Villette,Sport
Aménagement rue d'Aubervilliers,Sport
Du matériel de nettoiement silencieux et non polluant Micro Aspiratrice de trottoir 024 1,Propreté
Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 1,Propreté
Des fontaines à boire dans tout Paris Fontaine Arceau 031,Cadre de vie
Auvent groupe scolaire SAUSSURE,Education et jeunesse
Rue aux enfants - rue Prévost Paradol (14e),Cadre de vie
Composteur Régie de Quartier du 19ème,Propreté
Danube Palace,Solidarités
Régie de Quartier,Solidarités
"Ecole maternelle 42, rue du Docteur Netter 12e",Environnement
MCV 156,Solidarités
Extension jardin Serge Gainsbourg,Environnement
Table d'hôtes Tout Autre Chose,Solidarités
MYTROC - Développement application & Communauté,Solidarités
HOP! - Plateforme Web Produits durables et Sensibilisation Entrepreneurs,Solidarités
Rénover le gymnase Jemmapes,Sport
Des agrès sportifs square Léopold Achille (Parc Royal),Sport
Des hôtels à insectes dans les squares du 9e,Environnement
La Vitrine de l'innovation,Attractivité et emploi
Plus d'espaces d'activités et de loisirs - Association Florimont,Education et jeunesse
Promenons nos seniors,Solidarités
Restaurer le patrimoine archéologique du square Georges-Cain,Culture et patrimoine
Rénover les toilettes du square d'Anvers,Propreté
Groupe scolaire Ivry Levassor,Environnement
Des arbres  et des jardinières fleuries pour le 13ème/Arbres en pot rue de la Colonie,Cadre de vie
Activités sportives urbaines dans le 14e / Espaces verts,Sport
Gymnase Ortolan,Sport
"Aménagement du trottoir, du mobilier urbain et de l'éclairage",Cadre de vie
Cultiver dans les écoles / Ecole 4/5,Education et jeunesse
Cultiver dans les écoles / Ecole 9/12,Education et jeunesse
Cultiver dans les écoles / Ecole 6/23,Education et jeunesse
Cultiver dans les écoles / Ecole 8/23,Education et jeunesse
Cultiver dans les écoles / Ecole 7/30,Education et jeunesse
Cultiver dans les écoles / Ecole 17/30,Education et jeunesse
Cultiver dans les écoles / Ecole 19/30,Education et jeunesse
Cultiver dans les écoles / Ecole 6/21,Education et jeunesse
Cultiver dans les écoles / Ecole 21/21,Education et jeunesse
Cultiver dans les écoles / Ecole 15/18,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 23,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 34,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 45,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 32,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 56,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 83,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 85,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 92,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 93,Propreté
